rms,max,min,std,cycle,RUL,bearing,load
0.5621827952270994,2.3543357849121094,-2.52988338470459,0.5621738201275934,1,123,Bearing1_1,35Hz12kN
0.5780759215077445,3.195643424987793,-3.623104095458984,0.5780354761790777,2,122,Bearing1_1,35Hz12kN
0.5792969440141339,3.3217787742614746,-3.195667266845703,0.5792965446906979,3,121,Bearing1_1,35Hz12kN
0.5832049928949414,2.872622013092041,-2.6929378509521484,0.5831886325043045,4,120,Bearing1_1,35Hz12kN
0.593899680038606,4.136919975280762,-3.5265684127807617,0.5938380839867965,5,119,Bearing1_1,35Hz12kN
0.6150154769955232,3.986501693725586,-4.627382755279541,0.6149823238206579,6,118,Bearing1_1,35Hz12kN
0.6169188741186095,3.711307048797608,-4.874801635742188,0.6164771403972603,7,117,Bearing1_1,35Hz12kN
0.6117424203180751,2.9686808586120605,-4.286158084869385,0.6115100639305379,8,116,Bearing1_1,35Hz12kN
0.6126665942414372,3.649294376373291,-3.98709774017334,0.6125885483716237,9,115,Bearing1_1,35Hz12kN
0.6234198529666718,6.721889972686768,-5.931985378265381,0.623139687537149,10,114,Bearing1_1,35Hz12kN
0.6398390025532225,4.149472713470459,-4.350709915161133,0.6398280704748465,11,113,Bearing1_1,35Hz12kN
0.6509267168641455,5.990862846374512,-6.460535526275635,0.6497115996707665,12,112,Bearing1_1,35Hz12kN
0.6545953238883211,4.388165473937988,-3.9945363998413086,0.6543939295682952,13,111,Bearing1_1,35Hz12kN
0.6678574133950734,7.59049654006958,-5.476534366607666,0.667857410182213,14,110,Bearing1_1,35Hz12kN
0.6614778638032145,4.484832286834717,-6.354713439941406,0.6611927288774951,15,109,Bearing1_1,35Hz12kN
0.6665749593266552,4.9823760986328125,-6.143879890441895,0.6665252167919942,16,108,Bearing1_1,35Hz12kN
0.6693328978399441,4.384458065032959,-6.044590473175049,0.666111009110302,17,107,Bearing1_1,35Hz12kN
0.6811003532537152,6.016278266906738,-6.691479682922363,0.6808681440059352,18,106,Bearing1_1,35Hz12kN
0.6712656957176675,5.148637294769287,-6.321334838867188,0.6710921969671273,19,105,Bearing1_1,35Hz12kN
0.6645523995485644,5.830025672912598,-5.122029781341553,0.6644933230741911,20,104,Bearing1_1,35Hz12kN
0.6707920412943639,5.59312105178833,-6.968402862548828,0.6707920381146427,21,103,Bearing1_1,35Hz12kN
0.6972702158156289,5.503940582275391,-6.074428558349609,0.6970795284786494,22,102,Bearing1_1,35Hz12kN
0.6692338026100914,4.555201530456543,-11.03569269180298,0.6686932645387738,23,101,Bearing1_1,35Hz12kN
0.6891299753634373,5.104029178619385,-7.242953777313232,0.6887452250181914,24,100,Bearing1_1,35Hz12kN
0.6934906313133847,5.398797988891602,-6.614530086517334,0.693357283913423,25,99,Bearing1_1,35Hz12kN
0.6903031067045898,5.732226371765137,-5.75484037399292,0.6902993984307774,26,98,Bearing1_1,35Hz12kN
0.710346393480976,5.943143367767334,-7.209718227386475,0.7103254664826435,27,97,Bearing1_1,35Hz12kN
0.7162110374267435,7.696521282196045,-6.576812267303467,0.7160140541892435,28,96,Bearing1_1,35Hz12kN
0.6906724373338816,4.786884784698486,-7.823073863983154,0.6905204980643819,29,95,Bearing1_1,35Hz12kN
0.7272475485043249,6.187891960144043,-8.52419137954712,0.7272454190351321,30,94,Bearing1_1,35Hz12kN
0.720510609140529,5.352306365966797,-9.42363739013672,0.720280688784403,31,93,Bearing1_1,35Hz12kN
0.7194967335421186,6.237399578094482,-7.328474521636963,0.7192054774069225,32,92,Bearing1_1,35Hz12kN
0.7107517235748444,6.130790710449219,-7.031309604644775,0.710605197465213,33,91,Bearing1_1,35Hz12kN
